impl,n_clients,n_inserts,server,total_time_ms,n_commits,commit_rate_tps,relative_commit_rate
KuaFu+RO,32,4,Primary,62047,197757,3187.2129192386415,1.00000000000000000000
KuaFu+RO,32,4,KuaFu+RO,65190,192968,2960.08590274582,.92873804723812509097
FDR,32,128,Primary,62075,30007,483.3991139750302,1.00000000000000000000
FDR,32,128,FDR,62894,30007,477.10433427671956,.98697809011988426092
KuaFu+RO,32,256,Primary,61995,17453,281.5227034438261,1.00000000000000000000
KuaFu+RO,32,256,KuaFu+RO,63348,5014,79.15009155774452,.28114994133514993290
FDR,32,16,Primary,62261,126256,2027.8505003131977,1.00000000000000000000
FDR,32,16,FDR,62439,126256,2022.069539870914,.99714921763641311747
KuaFu,32,256,Primary,62204,17374,279.30679699054724,1.00000000000000000000
KuaFu,32,256,KuaFu,63341,4998,78.90623766596676,.28250740231229401364
FDR,32,2,Primary,61107,213066,3486.76910992194,1.00000000000000000000
FDR,32,2,FDR,61193,213066,3481.8688412073275,.99859461049466444174
KuaFu+RO,32,16,Primary,62107,127346,2050.4290981692884,1.00000000000000000000
KuaFu+RO,32,16,KuaFu+RO,64131,71358,1112.6912101791645,.54266261202234363466
FDR,32,8,Primary,62345,167207,2681.963268906889,1.00000000000000000000
FDR,32,8,FDR,62377,167207,2680.5873959953187,.99948699039710149481
KuaFu+RO,32,128,Primary,61203,29694,485.17229547571196,1.00000000000000000000
KuaFu+RO,32,128,KuaFu+RO,62814,9627,153.26201165345304,.31589192763609775359
FDR,32,64,Primary,61240,50261,820.721750489876,1.00000000000000000000
FDR,32,64,FDR,61471,50261,817.6375852027785,.99624213043548972609
KuaFu+RO,32,8,Primary,62120,167584,2697.7462974887317,1.00000000000000000000
KuaFu+RO,32,8,KuaFu+RO,64454,123400,1914.5437055884818,.70968263671446247878
KuaFu+RO,32,32,Primary,61185,81921,1338.906594753616,1.00000000000000000000
KuaFu+RO,32,32,KuaFu+RO,63289,39159,618.7331131792255,.46211820570880378103
FDR,32,16,Primary,61114,123015,2012.8775730601826,1.00000000000000000000
FDR,32,16,FDR,61247,123015,2008.5065390957925,.99782846506767681524
KuaFu+RO,32,256,Primary,61069,16780,274.7711604905926,1.00000000000000000000
KuaFu+RO,32,256,KuaFu+RO,62799,4890,77.86748196627335,.28339030132290508676
KuaFu+RO,32,128,Primary,62226,30403,488.58997846559316,1.00000000000000000000
KuaFu+RO,32,128,KuaFu+RO,63820,10077,157.8972109056722,.32316915586673546444
FDR,32,256,Primary,62329,16980,272.425355773396,1.00000000000000000000
FDR,32,256,FDR,63231,16980,268.5391659154529,.98573484524995668491
FDR+RO,32,2,Primary,62021,217568,3507.973105883491,1.00000000000000000000
FDR+RO,32,2,FDR+RO,62194,217568,3498.215261922372,.99721838119432746767
KuaFu,32,2,Primary,62082,218981,3527.28649205889,1.00000000000000000000
KuaFu,32,2,KuaFu,62277,218981,3516.241951282175,.99686882797822632738
KuaFu,32,128,Primary,61402,30279,493.1272596983812,1.00000000000000000000
KuaFu,32,128,KuaFu,62327,9658,154.95692075665443,.31423312686350588009
